price,price_category,type,beds,baths,address,furnishing,completion_status,post_date,average_rent,building_name,completion_year,parking_spaces,floors,area_sqft,elevators,area_name,city,country,Latitude,Longitude,purpose,price_per_sqft,rental_yeild
4825000,High,Apartment,2,3,"Vida Residence Downtown, Downtown Dubai, Dubai",Unfurnished,Ready,2024-04-18,288929,VIDA RESIDENCE DOWNTOWN,2018,510,56,957.0,11,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,5041.797283176594,5.988165803108808
1150000,Average,Apartment,0,1,"The Sterling East, The Sterling, Business Bay, Dubai",Unfurnished,Ready,2024-02-02,82271,THE STERLING EAST HOUSE,2023,259,27,502.0,6,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,2290.836653386454,7.154000000000001
1450000,Medium,Apartment,1,2,"Ocean Heights, Dubai Marina, Dubai",Unfurnished,Ready,2024-02-26,150834,OCEAN HEIGHTS,2010,0,75,810.0,0,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,1790.1234567901236,10.402344827586207
2400000,Medium,Apartment,1,2,"The Sterling West, The Sterling, Business Bay, Dubai",Unfurnished,Ready,2024-02-28,183689,THE STERLING WEST HOUSE,2023,0,26,571.0,0,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,4203.1523642732045,7.653708333333334
2750000,Medium,Apartment,1,1,"Lamtara Building 3, Lamtara, Madinat Jumeirah Living, Umm Suqeim, Dubai",Furnished,Ready,2024-01-22,135475,Madinat Jumeirah Living Lamtara 3,2021,138,9,3207.672,2,Umm Suqeim,Dubai,UAE,25.1647586,55.2187285,For Sale,857.3195763157829,4.926363636363637
1100000,Average,Apartment,1,2,"Binghatti Gateway, Al Jaddaf, Dubai",Unfurnished,Ready,2024-04-02,96107,Binghatti Gateway,2021,271,19,401.0,4,Al Jaddaf,Dubai,UAE,25.2142937,55.324569,For Sale,2743.142144638404,8.737
5650000,High,Villa,4,4,"Rockwood, The Park Villas, DAMAC Hills, Dubai",Unfurnished,Ready,2024-04-17,234246,Unknown,0,0,0,4795.362,0,DAMAC Hills,Dubai,UAE,25.0264384,55.251228,For Sale,1178.2217901380543,4.145946902654867
850000,Average,Apartment,1,2,"Fortunato, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Furnished,Ready,2024-04-17,84357,Fortunato 1,2014,0,5,455.0,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,1868.131868131868,9.92435294117647
1200000,Average,Townhouse,3,3,"Mimosa, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Unfurnished,Ready,2024-01-12,68288,Unknown,0,0,0,4391.7119999999995,0,DAMAC Hills 2 (Akoya by DAMAC),Dubai,UAE,24.982883,55.37972,For Sale,273.2419612215009,5.690666666666667
780000,Average,Apartment,2,2,"Lago Vista C, Lago Vista, Dubai Production City (IMPZ), Dubai",Unfurnished,Ready,2024-04-13,79437,LAGO VISTA-C,2011,0,22,2529.54,0,Dubai Production City (IMPZ),Dubai,UAE,25.03078,55.188226,For Sale,308.35646006783844,10.18423076923077
